review_id,community_id,review_date,rating,review_text,response_text,responded_at
GR106008,C001,2025-05-27,4,Mostly happy,,
GR769419,C001,2025-05-28,4,Nice facility,,
GR520080,C001,2025-05-10,5,Highly recommend,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-12
GR825692,C001,2025-05-22,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-29
GR330487,C001,2025-05-27,4,Good experience overall,,
GR759236,C001,2025-05-18,4,Good experience overall,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-31
GR365462,C001,2025-05-27,5,My mother loves it here,,
GR756621,C001,2025-05-04,5,My mother loves it here,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-15
GR318311,C002,2025-05-01,4,Caring staff,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-12
GR967215,C002,2025-05-02,5,Staff goes above and beyond,,
GR887252,C002,2025-05-18,4,Good experience overall,,
GR633752,C002,2025-05-26,3,Communication could be better,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-02
GR872672,C002,2025-05-21,4,Nice facility,,
GR797091,C002,2025-05-13,2,Disappointed,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-27
GR528299,C002,2025-05-22,5,Staff goes above and beyond,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-27
GR634926,C003,2025-05-25,5,Wonderful community,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-08
GR609596,C003,2025-05-23,5,My mother loves it here,,
GR148416,C003,2025-05-25,2,Not what we expected,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-06-04
GR544586,C003,2025-05-10,5,Staff goes above and beyond,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-22
GR848654,C004,2025-05-13,5,Staff goes above and beyond,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-25
GR952586,C004,2025-05-19,3,Average,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-28
GR337863,C004,2025-05-03,5,Highly recommend,,
GR444805,C004,2025-05-10,4,Good experience overall,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-19
GR785263,C004,2025-05-09,2,Slow response times,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-11
GR820743,C004,2025-05-22,2,Slow response times,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-23
GR757644,C004,2025-05-18,4,Good experience overall,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-22
GR341543,C004,2025-05-20,5,My mother loves it here,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-29
GR690813,C005,2025-05-08,4,Good experience overall,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-09
GR118160,C005,2025-05-10,1,Would not recommend,,
GR568867,C005,2025-05-23,5,Staff goes above and beyond,,
GR267874,C005,2025-05-16,4,Some minor issues but good,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-18
GR619505,C005,2025-05-10,3,Communication could be better,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-16
GR255013,C005,2025-05-03,1,Avoid this place,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-13
GR191255,C005,2025-05-25,5,Staff goes above and beyond,,
GR790688,C006,2025-05-11,3,Mixed experience,,
GR149896,C006,2025-05-14,4,Nice facility,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-26
GR472077,C006,2025-05-19,4,Nice facility,Thank you for your feedback. We appreciate you taking the time to share your experience.,2025-05-28
