lead_id,community_id,lead_source,created_date,tour_date,deposit_date,move_in_date,status,lost_reason
HL595717,C001,Facebook,2025-05-23,,,,Open,
HL563605,C001,Referral,2025-05-24,2025-05-27,,,Lost,Other
HL442191,C001,Walk-in,2025-05-03,,,,Lost,Chose Competitor
HL650534,C001,Event,2025-05-05,,,,Open,
HL997010,C001,Print,2025-05-17,,,,Open,
HL629117,C001,Print,2025-05-09,2025-05-27,,,Lost,Stayed Home
HL525925,C001,Web Inquiry,2025-05-03,2025-05-13,,,Lost,Affordability
HL208614,C001,Print,2025-05-28,2025-06-02,,,Lost,Health Decline
HL626909,C001,Google Ads,2025-05-05,,,,Open,
HL973484,C001,Facebook,2025-05-25,2025-05-31,,,Lost,Other
HL609681,C001,Web Inquiry,2025-05-12,,,,Open,
HL372004,C001,Referral,2025-05-03,,,,Open,
HL928629,C002,Walk-in,2025-05-08,,,,Lost,Stayed Home
HL146452,C002,Google Ads,2025-05-01,2025-05-22,,,Lost,Affordability
HL743876,C002,Google Ads,2025-05-02,,,,Lost,Stayed Home
HL648657,C002,Print,2025-05-06,2025-05-13,,,Lost,Health Decline
HL965519,C002,Event,2025-05-09,2025-05-20,2025-05-31,2025-06-25,Won,
HL607560,C002,Facebook,2025-05-28,,,,Lost,Health Decline
HL875129,C002,Walk-in,2025-05-25,,2025-06-13,2025-06-16,Won,
HL637581,C002,Event,2025-05-16,2025-05-22,,,Lost,Health Decline
HL630327,C002,Web Inquiry,2025-05-21,2025-05-29,,,Lost,Other
HL842609,C002,Referral,2025-05-13,,,,Open,
HL915340,C002,Print,2025-05-11,,,,Lost,Stayed Home
HL271183,C002,Walk-in,2025-05-24,,,,Open,
HL358817,C002,Web Inquiry,2025-05-15,2025-05-25,,,Lost,Stayed Home
HL896084,C003,Web Inquiry,2025-05-20,,,,Open,
HL201723,C003,Google Ads,2025-05-24,,,,Open,
HL933205,C003,Event,2025-05-17,2025-05-29,,,Lost,Chose Competitor
HL219044,C003,Walk-in,2025-05-05,,,,Open,
HL362804,C003,Web Inquiry,2025-05-24,2025-05-30,,,Lost,Health Decline
HL119789,C003,Google Ads,2025-05-03,2025-05-17,,,Lost,Affordability
HL394032,C003,Walk-in,2025-05-14,2025-05-17,,,Lost,Chose Competitor
HL740527,C004,Walk-in,2025-05-12,2025-05-26,,,Lost,Stayed Home
HL580699,C004,Event,2025-05-01,,,,Open,
HL995428,C004,Web Inquiry,2025-05-01,,,,Lost,Other
HL157798,C004,Web Inquiry,2025-05-25,,,,Lost,Stayed Home
