lease_id,resident_id,unit_id,community_id,move_in_date,move_out_date,move_out_reason,monthly_rate
L050284,R01284,U00434,C007,2023-05-18,2025-01-24,Financial,6103
L050522,R01522,U00768,C012,2024-04-09,2025-01-22,Higher Care Needed,8508
L050561,R01561,U00795,C013,2023-12-21,2025-01-19,Family Decision,4862
L050577,R01577,U00796,C013,2021-10-12,2025-01-22,Family Decision,4969
L050639,R01639,U00027,C001,2025-01-02,,,4974
L050640,R01640,U00035,C001,2025-01-17,,,4954
L050641,R01641,U00090,C002,2025-01-13,,,5097
L050642,R01642,U00072,C002,2025-01-18,,,4206
L050643,R01643,U00173,C003,2025-01-14,,,5929
L050644,R01644,U00135,C003,2025-01-15,,,3987
L050645,R01645,U00260,C004,2025-01-14,,,8575
L050646,R01646,U00196,C004,2025-01-26,2025-04-25,Higher Care Needed,4098
L050647,R01647,U00258,C004,2025-01-18,,,7015
L050648,R01648,U00205,C004,2025-01-02,,,4135
L050649,R01649,U00220,C004,2025-01-12,,,5368
L050650,R01650,U00298,C005,2025-01-28,2025-03-15,Other,5339
L050651,R01651,U00304,C005,2025-01-11,,,6214
L050652,R01652,U00285,C005,2025-01-13,,,6696
L050653,R01653,U00367,C006,2025-01-21,,,6318
L050654,R01654,U00373,C006,2025-01-06,,,5121
L050655,R01655,U00351,C006,2025-01-15,,,6586
L050656,R01656,U00338,C006,2025-01-14,,,4159
L050657,R01657,U00403,C007,2025-01-07,,,3782
L050658,R01658,U00502,C008,2025-01-25,,,5469
L050659,R01659,U00531,C009,2025-01-10,,,3906
L050660,R01660,U00576,C009,2025-01-17,,,7980
L050661,R01661,U00542,C009,2025-01-28,,,6470
L050662,R01662,U00548,C009,2025-01-19,,,6945
L050663,R01663,U00601,C010,2025-01-26,,,3601
L050664,R01664,U00588,C010,2025-01-10,,,4023
L050665,R01665,U00654,C011,2025-01-10,,,5013
L050666,R01666,U00652,C011,2025-01-26,,,4502
L050667,R01667,U00683,C011,2025-01-24,2025-06-21,Other,6070
L050668,R01668,U00666,C011,2025-01-21,2025-04-07,Higher Care Needed,4810
L050669,R01669,U00723,C012,2025-01-05,,,3439
L050670,R01670,U00751,C012,2025-01-07,2025-05-23,Hospital Transfer,6147
L050671,R01671,U00808,C013,2025-01-23,,,5880
L050672,R01672,U00790,C013,2025-01-16,,,3585
L050673,R01673,U00906,C014,2025-01-03,,,8472
L050674,R01674,U00876,C014,2025-01-18,,,5912
L050675,R01675,U00866,C014,2025-01-08,,,6046
