unit_id,community_id,unit_type,monthly_rent,snapshot_date
U00001,C001,IL,4547,2025-03-01
U00002,C001,IL,4256,2025-03-01
U00003,C001,IL,4249,2025-03-01
U00004,C001,IL,4681,2025-03-01
U00005,C001,IL,4631,2025-03-01
U00006,C001,IL,4780,2025-03-01
U00007,C001,IL,4332,2025-03-01
U00008,C001,IL,4340,2025-03-01
U00009,C001,IL,4442,2025-03-01
U00010,C001,IL,3534,2025-03-01
U00011,C001,IL,3878,2025-03-01
U00012,C001,IL,3624,2025-03-01
U00013,C001,IL,3750,2025-03-01
U00014,C001,IL,4582,2025-03-01
U00015,C001,IL,4583,2025-03-01
U00016,C001,IL,4035,2025-03-01
U00017,C001,IL,3863,2025-03-01
U00018,C001,IL,4520,2025-03-01
U00019,C001,IL,3897,2025-03-01
U00020,C001,IL,4582,2025-03-01
U00021,C001,AL,5348,2025-03-01
U00022,C001,AL,6178,2025-03-01
U00023,C001,AL,6226,2025-03-01
U00024,C001,AL,6188,2025-03-01
U00025,C001,AL,5868,2025-03-01
U00026,C001,AL,5634,2025-03-01
U00027,C001,AL,4842,2025-03-01
U00028,C001,AL,6349,2025-03-01
U00029,C001,AL,6279,2025-03-01
U00030,C001,AL,5238,2025-03-01
U00031,C001,AL,6393,2025-03-01
U00032,C001,AL,5746,2025-03-01
U00033,C001,AL,5397,2025-03-01
U00034,C001,AL,5526,2025-03-01
U00035,C001,AL,4886,2025-03-01
U00036,C001,AL,6415,2025-03-01
U00037,C001,AL,5496,2025-03-01
U00038,C001,AL,5401,2025-03-01
U00039,C001,AL,6169,2025-03-01
U00040,C001,AL,5572,2025-03-01
U00041,C001,AL,6422,2025-03-01
U00042,C001,AL,5850,2025-03-01
U00043,C001,AL,5834,2025-03-01
U00044,C001,AL,6296,2025-03-01
U00045,C001,AL,5294,2025-03-01
U00046,C001,AL,5862,2025-03-01
U00047,C001,AL,5479,2025-03-01
U00048,C001,AL,6049,2025-03-01
U00049,C001,AL,4876,2025-03-01
U00050,C001,AL,5396,2025-03-01
U00051,C001,MC,7355,2025-03-01
U00052,C001,MC,8655,2025-03-01
U00053,C001,MC,7790,2025-03-01
U00054,C001,MC,7408,2025-03-01
U00055,C001,MC,6918,2025-03-01
U00056,C001,MC,8957,2025-03-01
U00057,C001,MC,8410,2025-03-01
U00058,C001,MC,6697,2025-03-01
U00059,C001,MC,7487,2025-03-01
U00060,C001,MC,7310,2025-03-01
U00061,C001,MC,7051,2025-03-01
U00062,C001,MC,7823,2025-03-01
U00063,C001,MC,8165,2025-03-01
U00064,C001,MC,6814,2025-03-01
U00065,C001,MC,8568,2025-03-01
U00066,C002,IL,4517,2025-03-01
U00067,C002,IL,4297,2025-03-01
U00068,C002,IL,4525,2025-03-01
U00069,C002,IL,4574,2025-03-01
U00070,C002,IL,3878,2025-03-01
U00071,C002,IL,3560,2025-03-01
